VCD info: dumpfile tb_FPU.vcd opened for output.
          0 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
         84 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 00, Y = 11000001001100000000000000000000, Overflow = 0, Error = 0
         85 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         86 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         87 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 00, Y = 11000011011110010000000000000000, Overflow = 0, Error = 0
         88 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 00, Y = 11000011011110010000000000000000, Overflow = 0, Error = 0
         89 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         90 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         91 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 00, Y = 11000011100010001000000000000000, Overflow = 0, Error = 0
         92 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 00, Y = 11000011100010001000000000000000, Overflow = 0, Error = 0
         93 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         94 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         95 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 00, Y = 11000011000011010000000000000000, Overflow = 0, Error = 0
         96 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 00, Y = 11000011000011010000000000000000, Overflow = 0, Error = 0
         97 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         98 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         99 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 00, Y = 11000010000001000000000000000000, Overflow = 0, Error = 0
        100 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 01, Y = 11000010000001000000000000000000, Overflow = 0, Error = 0
        101 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        102 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        103 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 01, Y = 01000001000100000000000000000000, Overflow = 0, Error = 0
        104 A = 01000011000000010000000000000000, B = 01000011000000000000010000000000, Sel = 01, Y = 01000001000100000000000000000000, Overflow = 0, Error = 0
